file;distance(avg);distance(std);distance(min);time(avg);time(std);time(max)
c103_21.txt;1745.6793305742437;37.17078081345171;1678.1611813007723;2.9468366499990224;0.1198282286320401;3.10986560001038
c105_21.txt;1688.0849582167382;13.897136894031398;1653.9362467860285;2.8901301499921828;0.18871354613387706;3.3217721999972127
c204_21.txt;1067.3567608279288;36.279642455332066;1011.0246842105503;4.068770989991026;0.31260978193125466;4.456530599971302
r102_21.txt;2452.4410106548266;38.42524073759436;2396.790162755634;5.085845590010285;0.16147930975919583;5.375789500016253
r107_21.txt;1935.7508807331892;28.160121867182834;1874.157802971571;3.6241142600018064;0.14877938898413265;3.868392600037623
r205_21.txt;1219.7129671941543;37.9178737380771;1153.5016760066712;1.6316718299989588;0.10775823379662398;1.862031900032889
r211_21.txt;977.8789391066223;28.462447806422116;925.5012026119398;3.5594673899991904;1.026034972565822;5.0292575000203215
rc101_21.txt;2846.618822736644;19.071686902228556;2813.2185780948994;4.860475980001501;0.08422919338757238;4.971520200022496
rc106_21.txt;2375.615923519888;17.165707090690507;2348.207717046958;3.9388559099985287;0.07374025931888815;4.104279699968174
rc203_21.txt;1254.9581009807684;30.336986950187804;1184.5526562753118;1.66387692001299;0.2060277216657367;2.263020000013057
